frame,Time [s],CH1,BGND1,CH2,BGND2,intensity
395,20.438,7865,5870,17934,18752,1995
396,20.49,7701,6099,19943,18434,1602
397,20.542,7702,5967,18196,18344,1735
398,20.593,7529,5882,18363,18020,1647
399,20.645,8071,5906,18039,18362,2165
400,20.697,6937,5761,19523,18254,1176
401,20.749,7551,5894,18688,18362,1657
402,20.8,7367,5816,16982,18602,1551
403,20.852,7638,5973,20708,18698,1665
404,20.904,6198,5894,19086,18398,304
405,20.956,6809,5894,18058,18206,915
406,21.007,7013,5924,19209,18608,1089
407,21.059,6545,5767,18276,18332,778
408,21.111,6722,5918,19176,18464,804
409,21.162,7409,5840,18442,18824,1569
410,21.214,6892,5961,20030,18458,931
411,21.266,6955,5936,17413,18338,1019
412,21.318,7945,5840,19214,18440,2105
413,21.369,7209,5828,18839,18392,1381
414,21.421,6602,5767,18279,18656,835
415,21.473,6768,5900,19211,18362,868
416,21.525,6268,5900,18401,18578,368
417,21.576,6652,5707,19671,18422,945
418,21.628,6937,5798,18125,18416,1139
419,21.68,7078,5779,18927,18224,1299
420,21.732,7460,5955,17806,18236,1505
421,21.783,7341,5979,19187,18482,1362
422,21.835,6808,5804,18868,18398,1004
423,21.887,6588,5912,18519,18368,676
424,21.939,6633,5900,16677,18110,733
425,21.99,6595,5924,18656,17756,671
426,22.042,6815,5864,17831,18236,951
427,22.094,6724,5924,19803,18494,800
428,22.146,6889,5961,18885,18590,928
429,22.197,6688,5967,18604,18212,721
430,22.249,7182,5713,18392,18398,1469
431,22.301,7033,5773,18403,18284,1260
432,22.353,6911,5846,18303,18206,1065
433,22.404,6771,5767,17923,18704,1004
434,22.456,6521,5948,17733,18242,573
435,22.508,6947,5882,18842,18728,1065
436,22.56,7065,5888,18718,18596,1177
437,22.611,7003,5719,19399,18626,1284
438,22.663,6646,5731,17389,18620,915
439,22.715,7879,5761,18696,18116,2118
440,22.766,7686,5816,18707,18710,1870
441,22.818,7806,5761,18735,18458,2045
442,22.87,7370,5828,18475,18440,1542
443,22.922,7622,5888,19227,18380,1734
444,22.973,6658,5876,18160,18308,782
445,23.025,7693,5647,19233,18650,2046
446,23.077,6790,5677,18158,18542,1113
447,23.129,6546,5888,18375,18644,658
448,23.18,6836,5822,19417,18434,1014
449,23.232,6172,5755,17719,18584,417
450,23.284,6496,5755,18736,18314,741
451,23.336,6462,5924,18267,18590,538
452,23.387,7443,5918,18527,18356,1525
453,23.439,7354,5822,19134,18530,1532
454,23.491,7358,5719,19169,18560,1639
455,23.543,7407,5924,17161,18308,1483
456,23.594,7966,5906,18601,18704,2060
457,23.646,7068,5755,18056,18554,1313
458,23.698,7958,5973,17935,18566,1985
459,23.75,8351,5906,18093,18758,2445
460,23.801,7282,5665,18858,18746,1617
461,23.853,7585,5779,17957,18482,1806
462,23.905,6732,5634,19216,18854,1098
463,23.957,6712,5749,17398,18194,963
464,24.008,6063,5773,19919,18680,290
